,Country,Year,Group,Variable,Value,eta2_all,eta2_loo,delta_eta2,delta_eta2_pos,share_pos_pct
13,American Samoa,2017,Group C: Emerging / High-growth,Imports (% of GDP),102.2875817,0.037317152360226695,0.032225209738611905,0.0050919426216147895,0.0050919426216147895,30.66870469669244
14,American Samoa,2017,Group C: Emerging / High-growth,Population Growth (%),-1.269387464,0.014914968122288215,0.010526363049843886,0.004388605072444329,0.004388605072444329,26.43251171485485
15,American Samoa,2018,Group C: Emerging / High-growth,Exports (% of GDP),68.23161189,0.002716710698111923,0.0021499380056521997,0.0005667726924597234,0.0005667726924597234,5.620326700851167
16,American Samoa,2018,Group C: Emerging / High-growth,GDP Growth (%),2.671118531,0.10167342287248653,0.10253999981993753,-0.0008665769474510004,0.0,0.0
17,American Samoa,2018,Group C: Emerging / High-growth,GDP per Capita,12080.61601,0.8929467115873737,0.89245198574309,0.0004947258442836722,0.0004947258442836722,4.905883627105504
18,American Samoa,2018,Group C: Emerging / High-growth,Imports (% of GDP),103.599374,0.03495181115513965,0.029733624691534493,0.005218186463605157,0.005218186463605157,51.745458279121884
19,American Samoa,2018,Group C: Emerging / High-growth,Population Growth (%),-1.323023571,0.01145318704161831,0.007648534909502858,0.0038046521321154518,0.0038046521321154518,37.728331392921454
20,American Samoa,2019,Group C: Emerging / High-growth,Exports (% of GDP),61.66924266,0.0024674328860656634,0.002045096817148521,0.00042233606891714254,0.00042233606891714254,3.610252358214188
21,American Samoa,2019,Group C: Emerging / High-growth,GDP Growth (%),-0.487804878,0.010004804290932699,0.008214885491144797,0.0017899187997879023,0.0017899187997879023,15.300749908750902
22,American Samoa,2019,Group C: Emerging / High-growth,GDP per Capita,12189.04977,0.8881072596650513,0.8875932083868734,0.0005140512781779405,0.0005140512781779405,4.3942608170864625
23,American Samoa,2019,Group C: Emerging / High-growth,Imports (% of GDP),94.89953632,0.04579636376164851,0.041007144076845393,0.004789219684803114,0.004789219684803114,40.939651935005365
24,American Samoa,2019,Group C: Emerging / High-growth,Population Growth (%),-1.382578863,0.013268131435377476,0.009085414955657645,0.004182716479719831,0.004182716479719831,35.75508498094309
25,American Samoa,2020,Group C: Emerging / High-growth,Exports (% of GDP),59.22330097,0.000851509296229778,0.0012762788360518825,-0.0004247695398221045,0.0,0.0
26,American Samoa,2020,Group C: Emerging / High-growth,GDP Growth (%),4.411764706,0.01929389973529624,0.022275122767036595,-0.002981223031740355,0.0,0.0
27,American Samoa,2020,Group C: Emerging / High-growth,GDP per Capita,12841.38181,0.8831964678300396,0.8826706118199393,0.0005258560101002452,0.0005258560101002452,5.7196671619026
28,American Samoa,2020,Group C: Emerging / High-growth,Imports (% of GDP),95.14563107,0.046154448626462626,0.04088358790050403,0.005270860725958594,0.005270860725958594,57.33046391060619
29,American Samoa,2020,Group C: Emerging / High-growth,Population Growth (%),-0.89627488,0.01264092795125929,0.009243822822947204,0.003397105128312086,0.003397105128312086,36.94986892749122
30,American Samoa,2021,Group C: Emerging / High-growth,Exports (% of GDP),44.26666667,0.0036469870675865925,0.003628761597374128,1.8225470212464637e-05,1.8225470212464637e-05,0.2130938881479842
31,American Samoa,2021,Group C: Emerging / High-growth,GDP Growth (%),-0.782472613,0.0038247067747049323,0.0031468922102596674,0.0006778145644452649,0.0006778145644452649,7.925070755222039
32,American Samoa,2021,Group C: Emerging / High-growth,GDP per Capita,12879.63433,0.8843165841218015,0.883797945960359,0.0005186381614424862,0.0005186381614424862,6.063965487601862
33,American Samoa,2021,Group C: Emerging / High-growth,Imports (% of GDP),92.53333333,0.024024086183693644,0.020613299363056715,0.003410786820636929,0.003410786820636929,39.87923585951402
34,American Samoa,2021,Group C: Emerging / High-growth,Population Growth (%),-1.082992017,0.028734158760180994,0.024806834970601994,0.003927323789578999,0.003927323789578999,45.91863400951409
35,American Samoa,2022,Group C: Emerging / High-growth,Exports (% of GDP),46.95752009,0.0034636090079399866,0.0034084383730444423,5.517063489554434e-05,5.517063489554434e-05,0.9110138403527704
36,American Samoa,2022,Group C: Emerging / High-growth,GDP Growth (%),1.735015773,0.02004309266253123,0.019878285999589927,0.00016480666294130253,0.00016480666294130253,2.7213961051226954
37,American Samoa,2022,Group C: Emerging / High-growth,GDP per Capita,13342.43515,0.8731650746236863,0.8726050513815388,0.0005600232421475448,0.0005600232421475448,9.24747241864436
38,American Samoa,2022,Group C: Emerging / High-growth,Imports (% of GDP),77.72675086,0.030152595350304155,0.028813731779416103,0.0013388635708880513,0.0013388635708880513,22.108196610977444
39,American Samoa,2022,Group C: Emerging / High-growth,Population Growth (%),-1.81008765,0.01024603125434257,0.006308935241252385,0.003937096013090185,0.003937096013090185,65.01192102490273
40,American Samoa,2023,Group B: Transitional / Mixed,Population Growth (%),-1.712902942,0.053597451207192746,0.02495164826930354,0.028645802937889205,0.028645802937889205,100.0
41,American Samoa,2024,Group B: Transitional / Mixed,Population Growth (%),-1.603665872,0.010593367028464496,0.00726932531022197,0.003324041718242526,0.003324041718242526,100.0
42,Australia,2015,Group C: Emerging / High-growth,Exports (% of GDP),20.06612629,0.023709997275814215,0.02788250532236204,-0.0041725080465478265,0.0,0.0
43,Australia,2015,Group C: Emerging / High-growth,GDP Growth (%),2.190169287,0.014316810857366415,0.013532482674723241,0.000784328182643174,0.000784328182643174,5.827875846909218
44,Australia,2015,Group C: Emerging / High-growth,GDP per Capita,88732.80331,0.9719605441571625,0.9718299366525265,0.00013060750463600446,0.00013060750463600446,0.970466621673777
45,Australia,2015,Group C: Emerging / High-growth,Imports (% of GDP),21.59780564,0.07552340407723149,0.09052733715043605,-0.015003933073204564,0.0,0.0
46,Australia,2015,Group C: Emerging / High-growth,Inflation (%),1.508366722,0.018597764686277284,0.01839386086838465,0.0002039038178926339,0.0002039038178926339,1.5150878952027655
47,Australia,2015,Group C: Emerging / High-growth,Population Growth (%),1.439216653,0.0012695021236637867,0.0018052635983596482,-0.0005357614746958614,0.0,0.0
48,Australia,2015,Group C: Emerging / High-growth,Unemployment (%),6.055,0.03866396973267511,0.026324592157619685,0.012339377575055422,0.012339377575055422,91.68656963621424
49,Australia,2016,Group C: Emerging / High-growth,Exports (% of GDP),19.27874425,0.019730678329864648,0.024098331390951987,-0.004367653061087339,0.0,0.0
50,Australia,2016,Group C: Emerging / High-growth,GDP Growth (%),2.759385972,0.008235972094941237,0.008120740895246174,0.00011523119969506293,0.00011523119969506293,1.8988180466005626
51,Australia,2016,Group C: Emerging / High-growth,GDP per Capita,89768.15131,0.8996454259405996,0.8991725253779203,0.0004729005626793459,0.0004729005626793459,7.792612808331068
52,Australia,2016,Group C: Emerging / High-growth,Imports (% of GDP),21.69533522,0.07914966177530307,0.09459088114828111,-0.015441219372978043,0.0,0.0
53,Australia,2016,Group C: Emerging / High-growth,Inflation (%),1.276990945,0.023946634811297576,0.02387627765373051,7.035715756706709e-05,7.035715756706709e-05,1.1593686505859595
54,Australia,2016,Group C: Emerging / High-growth,Population Growth (%),1.561940498,0.005514645924592136,0.006643710772349386,-0.0011290648477572506,0.0,0.0
55,Australia,2016,Group C: Emerging / High-growth,Unemployment (%),5.711,0.0136832882110926,0.00827320200339821,0.005410086207694389,0.005410086207694389,89.1492004944824
56,Australia,2017,Group C: Emerging / High-growth,Exports (% of GDP),21.25661748,0.001576676453478359,0.0025159210001887977,-0.0009392445467104387,0.0,0.0
57,Australia,2017,Group C: Emerging / High-growth,GDP Growth (%),2.279591798,0.025400668380323285,0.02421789530653082,0.0011827730737924633,0.0011827730737924633,55.42824136613477
58,Australia,2017,Group C: Emerging / High-growth,GDP per Capita,90314.85422,0.8962842189684221,0.8958118478116991,0.0004723711567230504,0.0004723711567230504,22.136708274303928
59,Australia,2017,Group C: Emerging / High-growth,Imports (% of GDP),20.94711419,0.037317152360226695,0.04624850166656876,-0.008931349306342068,0.0,0.0
60,Australia,2017,Group C: Emerging / High-growth,Inflation (%),1.948647409,0.011260738362668962,0.010782000938921659,0.0004787374237473028,0.0004787374237473028,22.435050359561306
61,Australia,2017,Group C: Emerging / High-growth,Population Growth (%),1.646827797,0.014914968122288215,0.018308204522429972,-0.0033932364001417574,0.0,0.0
62,Australia,2017,Group C: Emerging / High-growth,Unemployment (%),5.592,0.07405725007556335,0.07480368745318529,-0.0007464373776219363,0.0,0.0
63,Australia,2018,Group C: Emerging / High-growth,Exports (% of GDP),21.89409054,0.002716710698111923,0.003946341212559799,-0.0012296305144478756,0.0,0.0
64,Australia,2018,Group C: Emerging / High-growth,GDP Growth (%),2.878469715,0.10167342287248653,0.10295836366493422,-0.001284940792447689,0.0,0.0
65,Australia,2018,Group C: Emerging / High-growth,GDP per Capita,91534.88699,0.8929467115873737,0.8924597689759767,0.0004869426113970343,0.0004869426113970343,9.753231256889537
66,Australia,2018,Group C: Emerging / High-growth,Imports (% of GDP),21.84197454,0.03495181115513965,0.04432235916383793,-0.009370548008698278,0.0,0.0
67,Australia,2018,Group C: Emerging / High-growth,Inflation (%),1.911400944,0.018527157213349008,0.017629404684918793,0.0008977525284302144,0.0008977525284302144,17.98156048844508
68,Australia,2018,Group C: Emerging / High-growth,Population Growth (%),1.49599671,0.01145318704161831,0.01380168226913003,-0.0023484952275117203,0.0,0.0
69,Australia,2018,Group C: Emerging / High-growth,Unemployment (%),5.345,0.017117446035631135,0.013509512593489046,0.0036079334421420892,0.0036079334421420892,72.26520825466538
70,Australia,2019,Group C: Emerging / High-growth,Exports (% of GDP),24.159678,0.0024674328860656634,0.003625051005445056,-0.0011576181193793927,0.0,0.0
71,Australia,2019,Group C: Emerging / High-growth,GDP Growth (%),2.171545057,0.010004804290932699,0.009339257221020398,0.0006655470699123006,0.0006655470699123006,13.164703147474427
72,Australia,2019,Group C: Emerging / High-growth,GDP per Capita,92150.97826,0.8881072596650513,0.8876017038171156,0.000505555847935768,0.000505555847935768,10.00003300055262
73,Australia,2019,Group C: Emerging / High-growth,Imports (% of GDP),22.0278239,0.04579636376164851,0.05681098178759734,-0.01101461802594883,0.0,0.0
74,Australia,2019,Group C: Emerging / High-growth,Inflation (%),1.610767873,0.04789608975617628,0.046697879465304105,0.0011982102908721717,0.0011982102908721717,23.70092740346627
75,Australia,2019,Group C: Emerging / High-growth,Population Growth (%),1.477490711,0.013268131435377476,0.01603458312933328,-0.002766451693955802,0.0,0.0
76,Australia,2019,Group C: Emerging / High-growth,Unemployment (%),5.143,0.03210577286848979,0.029419544281419657,0.0026862285870701344,0.0026862285870701344,53.13433644850668
77,Australia,2020,Group C: Emerging / High-growth,Exports (% of GDP),24.02673916,0.000851509296229778,0.0004939728899288851,0.0003575364063008929,0.0003575364063008929,3.5366800250334425
78,Australia,2020,Group C: Emerging / High-growth,GDP Growth (%),-0.119590736,0.01929389973529624,0.020675373559806916,-0.0013814738245106761,0.0,0.0
79,Australia,2020,Group C: Emerging / High-growth,GDP per Capita,90912.48991,0.8831964678300396,0.882680378927878,0.0005160889021615933,0.0005160889021615933,5.105050224956035
80,Australia,2020,Group C: Emerging / High-growth,Imports (% of GDP),20.63771691,0.046154448626462626,0.05685247506841098,-0.010698026441948352,0.0,0.0
81,Australia,2020,Group C: Emerging / High-growth,Inflation (%),0.846905537,0.1057658564329279,0.10334624749270206,0.0024196089402258314,0.0024196089402258314,23.934297197380722
82,Australia,2020,Group C: Emerging / High-growth,Population Growth (%),1.233428251,0.01264092795125929,0.014745138289818296,-0.002104210338559006,0.0,0.0
83,Australia,2020,Group C: Emerging / High-growth,Unemployment (%),6.394,0.062123375612350235,0.05530723033645145,0.006816145275898786,0.006816145275898786,67.4239725526298
84,Australia,2021,Group C: Emerging / High-growth,Exports (% of GDP),22.05667598,0.0036469870675865925,0.002796151536118533,0.0008508355314680595,0.0008508355314680595,12.849913913075273
85,Australia,2021,Group C: Emerging / High-growth,GDP Growth (%),2.111168148,0.0038247067747049323,0.003811014952885674,1.3691821819258182e-05,1.3691821819258182e-05,0.20678347951344112
86,Australia,2021,Group C: Emerging / High-growth,GDP per Capita,92701.10209,0.8843165841218015,0.883807818355416,0.0005087657663854772,0.0005087657663854772,7.683736818904312
87,Australia,2021,Group C: Emerging / High-growth,Imports (% of GDP),18.24580429,0.024024086183693644,0.03228809683960864,-0.008264010655914998,0.0,0.0
88,Australia,2021,Group C: Emerging / High-growth,Inflation (%),2.863910422,0.029602386106217824,0.03078120782188219,-0.0011788217156643646,0.0,0.0
89,Australia,2021,Group C: Emerging / High-growth,Population Growth (%),0.140895083,0.028734158760180994,0.0283629416661014,0.0003712170940795949,0.0003712170940795949,5.606380464335167
90,Australia,2021,Group C: Emerging / High-growth,Unemployment (%),5.023,0.04237427749329819,0.037497455165652754,0.0048768223276454345,0.0048768223276454345,73.6531853241718
91,Australia,2022,Group C: Emerging / High-growth,Exports (% of GDP),25.53158803,0.0034636090079399866,0.0025966806386477637,0.000866928369292223,0.000866928369292223,61.240485353816545
92,Australia,2022,Group C: Emerging / High-growth,GDP Growth (%),4.242385553,0.02004309266253123,0.021280348260822028,-0.0012372555982907985,0.0,0.0
93,Australia,2022,Group C: Emerging / High-growth,GDP per Capita,95411.77561,0.8731650746236863,0.8726163898339979,0.0005486847896883917,0.0005486847896883917,38.75951464618346
94,Australia,2022,Group C: Emerging / High-growth,Imports (% of GDP),20.2901822,0.030152595350304155,0.040831638662963333,-0.010679043312659179,0.0,0.0
95,Australia,2022,Group C: Emerging / High-growth,Inflation (%),6.594096713,0.0718105433603243,0.07366240758304428,-0.001851864222719976,0.0,0.0
96,Australia,2022,Group C: Emerging / High-growth,Population Growth (%),1.272698814,0.01024603125434257,0.012517189249730661,-0.0022711579953880907,0.0,0.0
97,Australia,2022,Group C: Emerging / High-growth,Unemployment (%),3.728,0.12347665366486972,0.12607820181026977,-0.0026015481454000483,0.0,0.0
98,Australia,2023,Group C: Emerging / High-growth,Exports (% of GDP),26.79924113,0.0006617500640739349,0.0011743177676817795,-0.0005125677036078446,0.0,0.0
99,Australia,2023,Group C: Emerging / High-growth,GDP Growth (%),3.4419922,0.0005158133182952325,0.0005736956805091752,-5.7882362213942744e-05,0.0,0.0
100,Australia,2023,Group C: Emerging / High-growth,GDP per Capita,96331.91318,0.8681725948405205,0.8674552638497306,0.0007173309907898551,0.0007173309907898551,7.293263952456512
101,Australia,2023,Group C: Emerging / High-growth,Imports (% of GDP),22.42594293,0.05697747467044031,0.07611955001666228,-0.01914207534622197,0.0,0.0
102,Australia,2023,Group C: Emerging / High-growth,Inflation (%),5.597014925,0.09115257709990993,0.09087054872511521,0.00028202837479471277,0.00028202837479471277,2.8674453019174693
103,Australia,2023,Group C: Emerging / High-growth,Population Growth (%),2.424315539,0.053597451207192746,0.04748043974429733,0.006117011462895415,0.006117011462895415,62.19301796786297
104,Australia,2023,Group C: Emerging / High-growth,Unemployment (%),3.668,0.12775659178727664,0.12503743499100578,0.002719156796270855,0.002719156796270855,27.64627277776304
105,Australia,2024,Group B: Transitional / Mixed,Exports (% of GDP),24.70520931,0.0063045081897715165,0.011267926505639623,-0.004963418315868107,0.0,0.0
106,Australia,2024,Group B: Transitional / Mixed,GDP Growth (%),1.43111252,0.033413466620142565,0.028604009840420136,0.004809456779722429,0.004809456779722429,62.94169561302735
107,Australia,2024,Group B: Transitional / Mixed,GDP per Capita,95727.81783,0.5066241484038584,0.5037924751935476,0.002831673210310748,0.002831673210310748,37.05830438697265
108,Australia,2024,Group B: Transitional / Mixed,Imports (% of GDP),22.60901971,0.03622949541957388,0.05697472054964798,-0.020745225130074096,0.0,0.0
109,Australia,2024,Group B: Transitional / Mixed,Inflation (%),3.161614283,0.3451944096894889,0.3477141645656263,-0.0025197548761374255,0.0,0.0
110,Australia,2024,Group B: Transitional / Mixed,Population Growth (%),2.050041134,0.010593367028464496,0.014769966855208698,-0.004176599826744202,0.0,0.0
111,Brunei Darussalam,2015,Group C: Emerging / High-growth,Exports (% of GDP),52.2130113,0.023709997275814215,0.02342331577386011,0.0002866815019541037,0.0002866815019541037,4.456725022475805
112,Brunei Darussalam,2015,Group C: Emerging / High-growth,GDP Growth (%),-0.392383488,0.014316810857366415,0.012030408668081848,0.002286402189284567,0.002286402189284567,35.5442042090994
113,Brunei Darussalam,2015,Group C: Emerging / High-growth,GDP per Capita,44047.45708,0.9719605441571625,0.9718302004053831,0.0001303437517793382,0.0001303437517793382,2.0263123226253783
114,Brunei Darussalam,2015,Group C: Emerging / High-growth,Imports (% of GDP),37.68317708,0.07552340407723149,0.08394990204201083,-0.008426497964779345,0.0,0.0
115,Brunei Darussalam,2015,Group C: Emerging / High-growth,Inflation (%),-0.488347421,0.018597764686277284,0.014868632334640381,0.003729132351636903,0.003729132351636903,57.97275844579942
116,Brunei Darussalam,2015,Group C: Emerging / High-growth,Population Growth (%),1.302103593,0.0012695021236637867,0.0016517956241333316,-0.00038229350046954484,0.0,0.0
117,Brunei Darussalam,2016,Group C: Emerging / High-growth,Exports (% of GDP),49.57777733,0.019730678329864648,0.019693010017029,3.7668312835647394e-05,3.7668312835647394e-05,7.270536684481153
118,Brunei Darussalam,2016,Group C: Emerging / High-growth,GDP Growth (%),-2.477917765,0.008235972094941237,0.008391786819315876,-0.00015581472437463904,0.0,0.0
119,Brunei Darussalam,2016,Group C: Emerging / High-growth,GDP per Capita,42418.29887,0.8996454259405996,0.8991649988985758,0.00048042704202377884,0.00048042704202377884,92.72946331551884
120,Brunei Darussalam,2016,Group C: Emerging / High-growth,Imports (% of GDP),37.74202392,0.07914966177530307,0.08730989043493909,-0.008160228659636018,0.0,0.0
121,Brunei Darussalam,2016,Group C: Emerging / High-growth,Inflation (%),-0.278693266,0.023946634811297576,0.024534619401614294,-0.0005879845903167188,0.0,0.0
122,Brunei Darussalam,2016,Group C: Emerging / High-growth,Population Growth (%),1.259642722,0.005514645924592136,0.0061400224439246585,-0.0006253765193325227,0.0,0.0
123,Brunei Darussalam,2017,Group C: Emerging / High-growth,Exports (% of GDP),49.57330652,0.001576676453478359,0.0015677896574206745,8.886796057684448e-06,8.886796057684448e-06,0.04738515682410547
124,Brunei Darussalam,2017,Group C: Emerging / High-growth,GDP Growth (%),1.328726513,0.025400668380323285,0.023447356722761895,0.00195331165756139,0.00195331165756139,10.41522485934226
125,Brunei Darussalam,2017,Group C: Emerging / High-growth,GDP per Capita,42464.67545,0.8962842189684221,0.8958069928335458,0.0004772261348763296,0.0004772261348763296,2.5446105767356566
126,Brunei Darussalam,2017,Group C: Emerging / High-growth,Imports (% of GDP),35.6035539,0.037317152360226695,0.042441613031177765,-0.00512446067095107,0.0,0.0
127,Brunei Darussalam,2017,Group C: Emerging / High-growth,Inflation (%),-1.260505646,0.011260738362668962,0.0050770797191426655,0.006183658643526296,0.006183658643526296,32.97179688475677
128,Brunei Darussalam,2017,Group C: Emerging / High-growth,Population Growth (%),1.210704566,0.014914968122288215,0.016664846641999766,-0.0017498785197115514,0.0,0.0
129,Brunei Darussalam,2017,Group C: Emerging / High-growth,Unemployment (%),9.316,0.07405725007556335,0.06392594553448473,0.01013130454107862,0.01013130454107862,54.02098252234121
130,Brunei Darussalam,2018,Group C: Emerging / High-growth,Exports (% of GDP),51.93323975,0.002716710698111923,0.0026697471756650343,4.696352244688883e-05,4.696352244688883e-05,0.3495052615708726
131,Brunei Darussalam,2018,Group C: Emerging / High-growth,GDP Growth (%),0.052371054,0.10167342287248653,0.09831897948363767,0.0033544433888488545,0.0033544433888488545,24.963962517295595
132,Brunei Darussalam,2018,Group C: Emerging / High-growth,GDP per Capita,41998.00604,0.8929467115873737,0.8924546189408846,0.000492092646489084,0.000492092646489084,3.6621820546525874
133,Brunei Darussalam,2018,Group C: Emerging / High-growth,Imports (% of GDP),41.96482195,0.03495181115513965,0.03911115659367737,-0.004159345438537722,0.0,0.0
134,Brunei Darussalam,2018,Group C: Emerging / High-growth,Inflation (%),1.025051793,0.018527157213349008,0.017221841297579386,0.0013053159157696212,0.0013053159157696212,9.714236854563433
135,Brunei Darussalam,2018,Group C: Emerging / High-growth,Population Growth (%),1.157399588,0.01145318704161831,0.012763033484761903,-0.001309846443143593,0.0,0.0
136,Brunei Darussalam,2018,Group C: Emerging / High-growth,Unemployment (%),8.7,0.017117446035631135,0.008879118321180792,0.008238327714450343,0.008238327714450343,61.31011331191751
137,Brunei Darussalam,2019,Group C: Emerging / High-growth,Exports (% of GDP),57.94604061,0.0024674328860656634,0.0021713286878581655,0.0002961041982074979,0.0002961041982074979,2.134761166672195
138,Brunei Darussalam,2019,Group C: Emerging / High-growth,GDP Growth (%),3.868844164,0.010004804290932699,0.010163027032415974,-0.00015822274148327535,0.0,0.0
139,Brunei Darussalam,2019,Group C: Emerging / High-growth,GDP per Capita,43142.94093,0.8881072596650513,0.8875962200951676,0.0005110395698837422,0.0005110395698837422,3.6843362405020077
140,Brunei Darussalam,2019,Group C: Emerging / High-growth,Imports (% of GDP),50.56361788,0.04579636376164851,0.048578653997595346,-0.0027822902359468382,0.0,0.0
141,Brunei Darussalam,2019,Group C: Emerging / High-growth,Inflation (%),-0.390522069,0.04789608975617628,0.04126624499277436,0.006629844763401914,0.006629844763401914,47.79781991492557
142,Brunei Darussalam,2019,Group C: Emerging / High-growth,Population Growth (%),1.106213509,0.013268131435377476,0.01477583853745741,-0.0015077071020799335,0.0,0.0
143,Brunei Darussalam,2019,Group C: Emerging / High-growth,Unemployment (%),6.6,0.03210577286848979,0.02567216065877289,0.006433612209716902,0.006433612209716902,46.38308267790023
144,Brunei Darussalam,2020,Group C: Emerging / High-growth,Exports (% of GDP),57.35611137,0.000851509296229778,0.0012230647820691083,-0.00037155548583933033,0.0,0.0
145,Brunei Darussalam,2020,Group C: Emerging / High-growth,GDP Growth (%),1.133573406,0.01929389973529624,0.021090396036626574,-0.0017964963013303338,0.0,0.0
146,Brunei Darussalam,2020,Group C: Emerging / High-growth,GDP per Capita,43171.30111,0.8831964678300396,0.8826741426114375,0.000522325218602071,0.000522325218602071,4.844313359932378
147,Brunei Darussalam,2020,Group C: Emerging / High-growth,Imports (% of GDP),52.9348922,0.046154448626462626,0.047718313397540735,-0.0015638647710781092,0.0,0.0
148,Brunei Darussalam,2020,Group C: Emerging / High-growth,Inflation (%),1.940319966,0.1057658564329279,0.1113672691452062,-0.005601412712278306,0.0,0.0
149,Brunei Darussalam,2020,Group C: Emerging / High-growth,Population Growth (%),1.061482816,0.01264092795125929,0.014161077926791365,-0.0015201499755320754,0.0,0.0
150,Brunei Darussalam,2020,Group C: Emerging / High-growth,Unemployment (%),7.409,0.062123375612350235,0.05186346649156675,0.010259909120783485,0.010259909120783485,95.15568664006763
151,Brunei Darussalam,2021,Group C: Emerging / High-growth,Exports (% of GDP),80.16891083,0.0036469870675865925,0.005366799075438212,-0.0017198120078516198,0.0,0.0
152,Brunei Darussalam,2021,Group C: Emerging / High-growth,GDP Growth (%),-1.590762481,0.0038247067747049323,0.002982650201559982,0.0008420565731449502,0.0008420565731449502,10.921833634644566
153,Brunei Darussalam,2021,Group C: Emerging / High-growth,GDP per Capita,42078.5326,0.8843165841218015,0.8838013012957557,0.0005152828260457376,0.0005152828260457376,6.68343847711082
154,Brunei Darussalam,2021,Group C: Emerging / High-growth,Imports (% of GDP),66.95420158,0.024024086183693644,0.023542912954387072,0.00048117322930657166,0.00048117322930657166,6.241022429530301
155,Brunei Darussalam,2021,Group C: Emerging / High-growth,Inflation (%),1.733413885,0.029602386106217824,0.027908234785758358,0.001694151320459466,0.001694151320459466,21.973866678416847
156,Brunei Darussalam,2021,Group C: Emerging / High-growth,Population Growth (%),0.960274305,0.028734158760180994,0.03160528465189262,-0.002871125891711627,0.0,0.0
157,Brunei Darussalam,2021,Group C: Emerging / High-growth,Unemployment (%),4.905,0.04237427749329819,0.03819709526336873,0.004177182229929459,0.004177182229929459,54.17983878029746
158,Brunei Darussalam,2022,Group C: Emerging / High-growth,Exports (% of GDP),86.38935701,0.0034636090079399866,0.005393615372060103,-0.0019300063641201166,0.0,0.0
159,Brunei Darussalam,2022,Group C: Emerging / High-growth,GDP Growth (%),-1.62833154,0.02004309266253123,0.018276739024054484,0.0017663536384767455,0.0017663536384767455,12.223772152318237
160,Brunei Darussalam,2022,Group C: Emerging / High-growth,GDP per Capita,41061.6587,0.8731650746236863,0.8726086495654971,0.0005564250581892027,0.0005564250581892027,3.8506519776021486
161,Brunei Darussalam,2022,Group C: Emerging / High-growth,Imports (% of GDP),60.58460908,0.030152595350304155,0.031507636603013964,-0.0013550412527098092,0.0,0.0
162,Brunei Darussalam,2022,Group C: Emerging / High-growth,Inflation (%),3.682250306,0.0718105433603243,0.06721961113294204,0.004590932227382258,0.004590932227382258,31.7708234024137
163,Brunei Darussalam,2022,Group C: Emerging / High-growth,Population Growth (%),0.804554269,0.01024603125434257,0.011232501540746103,-0.0009864702864035325,0.0,0.0
164,Brunei Darussalam,2022,Group C: Emerging / High-growth,Unemployment (%),5.191,0.12347665366486972,0.11594021273344705,0.007536440931422667,0.007536440931422667,52.15475246766591
165,Brunei Darussalam,2023,Group C: Emerging / High-growth,Exports (% of GDP),76.70320243,0.0006617500640739349,0.0005774687729633638,8.428129111057105e-05,8.428129111057105e-05,1.3558204158857907
166,Brunei Darussalam,2023,Group C: Emerging / High-growth,GDP Growth (%),1.127644192,0.0005158133182952325,0.000697341237011119,-0.00018152791871588658,0.0,0.0
167,Brunei Darussalam,2023,Group C: Emerging / High-growth,GDP per Capita,41200.86813,0.8681725948405205,0.8674440959167248,0.0007284989237956729,0.0007284989237956729,11.719252289777932
